Id,Label,Category,#photos,#videos,#replies,#retweets,#likes
467,kemo10826771,Other,0,0,0,0,0
468,bulenthun,Other,0,0,0,0,1
469,beybaba50,Other,0,0,0,0,0
470,turantchtg,Other,0,0,0,0,0
471,mehmetkoldas0,Person,0,0,0,0,0
472,xyxyorumcu,Other,1,0,2,0,49
473,4xgzl,Other,0,0,0,0,0
474,nedretturgut2,Other,0,0,0,0,0
475,tc_mustafa_tek,Person,1,0,0,1,4
476,stanbul50388177,Other,0,0,0,1,6
477,kubilayustunbas,Other,0,0,0,0,5
478,furkany33745256,Person,0,0,0,0,0
479,bilal_akoglu,Other,0,0,0,0,7
480,genceyupsultan,Other,1,0,1,5,10
481,hbidis,Other,0,0,0,4,4
482,ishakkaracaoglu,Other,1,0,0,0,1
483,bilgenesiller,Person,0,0,0,1,3
484,emrecakir344,Person,0,0,0,2,5
485,thanku4thanks,Other,0,0,0,0,0
486,esrahn19,Person,0,0,3,12,146
487,haberinizcomtr,Media,1,0,0,8,21
488,selahattin0112,Other,1,0,0,2,14
489,faruk_yis,Other,1,0,0,0,2
490,telesartek,Other,0,0,0,0,0
491,genckizilay34p,Institutional,1,0,1,0,5
492,smnreren,Other,0,0,0,0,0
493,serhat_sari6531,Other,0,0,0,0,0
494,tunch_tunch,Other,0,0,0,2,2
495,likapa1828,Other,1,0,0,0,8
496,furkanduyguu,Person,1,0,1,91,101
497,mhsctin,Other,0,0,0,0,0
498,seherdogand,Other,0,0,0,0,1
499,zuleyha_clkbs,Other,0,0,0,0,10
500,forderdod,Other,1,0,2,5,28
501,mkyz_25fb,Other,0,0,1,0,22
502,canercanitez,Person,1,0,0,1,7
503,atakanknac,Other,1,0,0,0,0
504,okrfth46,Other,0,0,0,0,0
505,serhatcevrim,Other,0,0,0,0,2
506,batumlumesut,Other,1,0,1,0,0
507,konukkoc,Other,0,0,0,0,2
508,genclikveihsan,Person,0,0,0,2,7
509,cemil_cesur,Other,0,0,0,0,1
510,eniyiklima_,Other,0,0,0,0,2
511,ebrusen1980,Other,1,0,0,0,1
512,hgkaracivi,Other,1,0,0,0,0
513,yunusreis158,Person,0,0,0,0,2
514,doruk___ulusoy,Other,0,0,2,0,1
515,ebrar_tasdemir,Other,1,0,0,0,0
516,ak__battalgazi,Other,1,0,0,6,21
517,72_91ismail,Other,0,0,0,0,1
518,mektepligazete,Media,0,0,0,1,0
519,_abdulhamid_1,Other,0,0,4,138,167
520,ahncokun,Other,0,0,0,0,0
521,furkanylmz1903_,Person,1,0,0,0,0
522,mehmetkurt7566,Person,0,0,0,141,149
523,mehmetfarukyuce,Person,1,0,0,2,12
524,hercaialone,Other,0,0,1,0,0
525,bda1907,Other,1,0,0,0,0
526,sunagil,Other,1,0,0,0,1
527,genckizilay09n1,Institutional,1,0,1,0,5
528,horizonseternal,Other,0,0,1,0,1
529,ardablc4,Other,0,0,0,0,1
530,askarbeyi,Other,0,0,0,2,3
531,istanbul__kusu,Other,0,1,18,113,333
532,malatyasonsoz,Media,1,0,0,0,0
533,kalbin_sesinden,Other,1,0,1,0,2
534,burakavi,Person,0,0,0,0,4
535,f_u_r_y_02,Other,0,0,0,0,0
536,erhancetin,Other,0,0,0,1,1
537,cemmcemmcem,Other,0,1,0,2,6
538,dicledach,Other,0,0,0,0,1
539,annabelleeyll,Other,0,0,0,0,6
540,fulyasever,Other,0,0,0,0,1
541,canimdir_,Person,1,0,0,3,2
542,senayider,Other,1,0,0,0,13
543,befedeee,Person,0,0,0,3,6
544,sahinbeyytr,Other,0,0,1,0,1
545,genckizilayacu,Institutional,1,0,0,2,21
546,yahyatoplu,Other,1,0,0,10,37
547,kubagibi,Other,0,0,0,4,6
548,genclikveihsan6,Person,0,0,0,2,12
549,sandiklibld,Govermental,1,0,0,4,17
550,merkezataturkio,Other,1,0,1,4,20
551,miss_jeolog,Other,0,0,0,3,7
552,kucuktakipci,Other,0,0,0,1,7
553,ygtcrn1907,Other,1,0,0,0,1
554,seyhuhet,Other,1,0,0,0,14
555,yoncaninoyalari,Person,0,0,0,1,2
556,ksurmelioglu,Other,0,0,0,0,1
557,eskisehirmuf,Other,1,0,0,1,1
558,rumuz23,Other,0,1,2,14,17
559,metinilba1,Other,1,0,1,4,28
560,mrecepgkhan,Person,0,0,0,0,0
561,dysonquake2020,Earthquake,0,0,0,0,0
562,kadturay,Other,0,0,3,7,4
563,furkanucakk,Person,1,0,0,0,1
564,emre_cemaloglu,Person,0,1,0,1,7
565,utsokurumsal,Other,1,0,0,1,5
566,buranahmet11,Person,1,0,0,12,48
567,ifrc,Other,0,1,10,44,137
568,trconsulhouston,Other,0,0,0,0,0
569,cukurdizi,Other,0,1,2,59,413
570,genckizilaysdu,Institutional,1,0,2,2,9
571,showtv,Media,0,1,1,16,77
572,umuthazman,Person,1,0,0,0,0
573,1903_berru,Other,0,0,0,0,0
574,kutahyatso,Other,1,0,0,0,12
575,bettysbob,Other,0,0,0,0,3
576,durtenyan,Other,0,0,0,0,1
577,aksekikaymakam,Other,1,0,1,5,11
578,mustafaturkogiu,Person,1,0,0,2,2
579,sesnikk,Other,0,0,0,0,2
580,tcsamsunvalilik,Govermental,0,0,0,16,89
581,23yanilmaz,Other,1,0,0,12,44
582,mahmutodabas_,Person,0,0,0,0,0
583,cyldrm_23,Other,1,0,0,0,1
584,thebestakrep,Other,1,0,0,0,0
585,milliyet,Other,1,0,0,0,4
586,terebenti,Other,0,0,0,0,1
587,genckizilaybgu,Institutional,1,0,0,0,2
588,nataliavazyan,Person,0,1,3,73,149
589,ftfurkantuna,Person,0,0,0,5,14
590,cemreseymakapu,Person,1,0,1,2,8
591,cozumistorg,Other,1,0,0,7,11
592,afad_canakkale,Institutional,1,0,0,0,3
593,volkanhulur,Other,0,0,0,4,13
594,srknbyrm44,Other,1,0,0,0,2
595,_burcin_ates,Other,0,0,0,0,2
596,ridvanalbay,Other,1,0,0,0,1
597,orhanonurgemici,Person,0,0,0,1,3
598,tekirdagtso,Other,0,1,0,1,51
599,halimeturac,Person,1,0,0,0,2
600,genckizilaykau,Institutional,1,0,0,1,5
601,nergizyc,Other,1,0,0,0,1
602,musacelik29,Other,1,0,0,3,7
603,isikdogan063,Other,1,0,0,0,7
604,gkocaaliler,Person,1,0,0,0,13
605,molatik,Other,1,0,0,1,5
606,jimmyjoker13,Other,0,0,0,0,1
607,edirneborsas,Other,0,1,0,1,4
608,bihterrkonda,Other,0,0,0,0,0
609,ozyesilibrahim,Person,1,0,0,7,53
610,aksekibelediye,Govermental,1,0,0,7,25
611,guzelgunler_12,Other,0,0,0,1,11
612,pekel1268,Other,0,0,0,0,1
613,buyukdollukio,Other,0,1,1,0,3
